id,output,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
100387,0,39.199,20.685,0.525,1.642,5.52,0.838,2.817,20.719,23.764,55.22,86.85,162.081,83.438,28.941,138.266,2.608,2.258,32.87,0.626,1.958,10.942,42.768,28.163,19.156,30.577,1020430686,20.08,19.064,15.786,14.987
100388,0,69.476,88.508,4.96,30.275,59.449,2.882,5.659,32.111,25.788,74.025,101.238,371.447,101.894,17.441,128.667,1.868,1.834,30.564,1.721,10.504,42.814,-8.098,-5.681,-4.75,-2.759,1476404238,3.221,2.927,3.189,2.899
100389,0,25.297,37.019,0.972,3.841,33.853,0.915,8.07,25.451,49.448,67.728,75.98,288,33.647,23.716,71.212,3.892,1.946,52.845,1.061,4.194,42.418,16.896,14.971,11.182,10.532,863869583,3.015,2.786,3.642,3.365
100390,0,-15.809,49.621,5.125,8.95,13.58,2.255,3.421,25.806,26.919,177.272,204.545,35.851,29.629,60.429,1829.411,1.244,1.088,22.381,2.273,3.969,50.375,43.081,28.335,12.107,5.326,692363392,2.272,2.109,2.136,1.982
100391,0,2.255,21.929,6.833,13.48,13.522,3.263,3.273,15.254,31.933,157.219,178.877,58.483,33.659,52.044,253.671,0.424,0.383,17.822,2.093,4.13,37.127,39.385,24.753,12.206,5.83,3160485654,2.085,0.845,1.616,0.654
100392,0,4.757,-6.945,3.078,14.929,36.936,2.895,7.164,25.443,36.093,151.177,155.885,193.657,109.712,24.791,380.926,2.546,2.246,56.486,1.063,5.155,25.076,-38.75,-23.834,-18.919,-17.798,1445924808,6.114,5.428,7.206,6.398
100393,0,9.801,65.068,3.56,13.582,21.272,1.812,2.838,23.851,34.829,55.258,92.193,208.613,67.294,26.602,59.363,0.949,0.891,28.052,1.964,7.494,54.158,-4.344,-3.318,-2.448,-1.246,3632348420,3.695,2.712,3.513,2.578
100394,0,-20.939,-5.199,4.86,17.941,39.705,3.098,6.856,38.571,21.595,115.365,123.667,217.52,0.269,31.467,1875,3.098,2.336,51.06,1.568,5.791,12.509,32.911,32.677,23.824,15.185,425214241,4.269,4.255,4.703,4.687
100395,0,32.22,8.637,3.525,12.344,35.22,2.384,6.802,45.971,33.06,104.799,119.158,135.573,132.746,27.15,97.342,1.06,1.017,53.576,1.478,5.177,29.155,45.316,22.227,15.879,10.739,3023035975,3.348,1.942,4.447,2.58
100396,0,-16.252,19.368,17.482,63.058,66.117,4.487,4.705,34.184,18.868,123.995,128.527,174.954,7.027,35.463,124.175,0.167,0.05,6.389,3.895,14.051,81.474,50.495,48.285,34.898,8.958,1126837277,0.273,-0.775,0.23,-0.655
